"","id","nombre","tipo","administracao_direta","institucion_padre_id","sigla","codigo","activa","data_criacao_lei","data_ativacao","data_inativacao","data_edicao","natureza_juridica_id","justificativa_inativacao_id","justificativa_outros","sigla_nome","nome","nome_home","grupo_ativo","situacao"
"163",1421,"Ministério do Trabalho e Emprego","orgao",1,NA,"MTE","308820",1,"2023-01-01","2023-03-02",NA,NA,NA,NA,NA,"MTE - Ministério do Trabalho e Emprego","Ministério do Trabalho e Emprego","MTE - Ministério do Trabalho e Emprego (desde 02/03/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"164",714,"Ministério do Turismo","orgao",1,NA,"MTur","72084",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"MTur - Ministério do Turismo","Ministério do Turismo","MTur - Ministério do Turismo (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"165",1386,"Ministério dos Direitos Humanos e da Cidadania","orgao",1,NA,"MDHC","308816",1,"2023-01-01","2023-01-01",NA,NA,NA,NA,NA,"MDHC - Ministério dos Direitos Humanos e da Cidadania","Ministério dos Direitos Humanos e da Cidadania","MDHC - Ministério dos Direitos Humanos e da Cidadania (desde 01/01/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"166",1397,"Ministério dos Povos Indígenas","orgao",1,NA,"MPI","308824",1,"2023-01-01","2023-01-30",NA,NA,NA,NA,NA,"MPI - Ministério dos Povos Indígenas","Ministério dos Povos Indígenas","MPI - Ministério dos Povos Indígenas (desde 30/01/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"167",1411,"Ministério dos Transportes","orgao",1,NA,"MT","308818",1,"2023-01-01","2023-02-14",NA,NA,NA,NA,NA,"MT - Ministério dos Transportes","Ministério dos Transportes","MT - Ministério dos Transportes (desde 14/02/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"168",1066,"Polícia Federal","orgao",1,856,"PF","324",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"PF - Polícia Federal","Polícia Federal","PF - Polícia Federal (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"169",1125,"Polícia Rodoviária Federal","orgao",1,856,"PRF","704",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"PRF - Polícia Rodoviária Federal","Polícia Rodoviária Federal","PRF - Polícia Rodoviária Federal (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"170",511,"Presidência da República","orgao",1,NA,"PR","26",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"PR - Presidência da República","Presidência da República","PR - Presidência da República (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"171",1381,"Secretaria de Comunicação Social da Presidência da República","orgao",1,511,"SECOM","308822",1,"2023-01-01","2023-01-04",NA,NA,NA,NA,NA,"SECOM - Secretaria de Comunicação Social da Presidência da República","Secretaria de Comunicação Social da Presidência da República","SECOM - Secretaria de Comunicação Social da Presidência da República (desde 04/01/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"172",1387,"Secretaria de Relações Institucionais da Presidência da República","orgao",1,511,"SRI/PR","42673",1,"2023-01-01","2023-01-23",NA,NA,NA,NA,NA,"SRI/PR - Secretaria de Relações Institucionais da Presidência da República","Secretaria de Relações Institucionais da Presidência da República","SRI/PR - Secretaria de Relações Institucionais da Presidência da República (desde 23/01/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"173",1372,"Secretaria-Geral da Presidência da República","orgao",1,511,"SG","219924",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"SG - Secretaria-Geral da Presidência da República","Secretaria-Geral da Presidência da República","SG - Secretaria-Geral da Presidência da República (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"174",1028,"Superintendência da Zona Franca de Manaus","orgao",0,854,"SUFRAMA","166",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"SUFRAMA - Superintendência da Zona Franca de Manaus","Superintendência da Zona Franca de Manaus","SUFRAMA - Superintendência da Zona Franca de Manaus (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"175",1376,"Superintendência de Seguros Privados","orgao",0,854,"SUSEP","235",1,"2022-09-01","2022-09-01",NA,NA,37,NA,NA,"SUSEP - Superintendência de Seguros Privados","Superintendência de Seguros Privados","SUSEP - Superintendência de Seguros Privados (desde 01/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"176",1230,"Superintendência do Desenvolvimento da Amazônia","orgao",0,855,"SUDAM","91138",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"SUDAM - Superintendência do Desenvolvimento da Amazônia","Superintendência do Desenvolvimento da Amazônia","SUDAM - Superintendência do Desenvolvimento da Amazônia (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"177",1241,"Superintendência do Desenvolvimento do Centro-Oeste","orgao",0,855,"SUDECO","100113",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"SUDECO - Superintendência do Desenvolvimento do Centro-Oeste","Superintendência do Desenvolvimento do Centro-Oeste","SUDECO - Superintendência do Desenvolvimento do Centro-Oeste (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"178",1231,"Superintendência do Desenvolvimento do Nordeste","orgao",0,855,"SUDENE","91144",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"SUDENE - Superintendência do Desenvolvimento do Nordeste","Superintendência do Desenvolvimento do Nordeste","SUDENE - Superintendência do Desenvolvimento do Nordeste (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"179",1272,"Superintendência Nacional de Previdência Complementar","orgao",0,864,"PREVIC","105915",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"PREVIC - Superintendência Nacional de Previdência Complementar","Superintendência Nacional de Previdência Complementar","PREVIC - Superintendência Nacional de Previdência Complementar (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"180",1274,"Universidade da Integração Internacional da Lusofonia Afro-Brasileira","orgao",0,549,"UNILAB","109912",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"UNILAB - Universidade da Integração Internacional da Lusofonia Afro-Brasileira","Universidade da Integração Internacional da Lusofonia Afro-Brasileira","UNILAB - Universidade da Integração Internacional da Lusofonia Afro-Brasileira (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"181",1078,"Universidade Federal da Bahia","orgao",0,549,"UFBA","421",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"UFBA - Universidade Federal da Bahia","Universidade Federal da Bahia","UFBA - Universidade Federal da Bahia (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"182",1269,"Universidade Federal da Fronteira Sul","orgao",0,549,"UFFS","103730",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"UFFS - Universidade Federal da Fronteira Sul","Universidade Federal da Fronteira Sul","UFFS - Universidade Federal da Fronteira Sul (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"183",1271,"Universidade Federal da Integração Latino-Americana","orgao",0,549,"UNILA","105793",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"UNILA - Universidade Federal da Integração Latino-Americana","Universidade Federal da Integração Latino-Americana","UNILA - Universidade Federal da Integração Latino-Americana (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"184",1076,"Universidade Federal da Paraíba","orgao",0,549,"UFPB","419",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"UFPB - Universidade Federal da Paraíba","Universidade Federal da Paraíba","UFPB - Universidade Federal da Paraíba (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"185",1077,"Universidade Federal de Alagoas","orgao",0,549,"UFAL","420",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"UFAL - Universidade Federal de Alagoas","Universidade Federal de Alagoas","UFAL - Universidade Federal de Alagoas (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"186",1105,"Universidade Federal de Alfenas","orgao",0,549,"UNIFAL-MG","461",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"UNIFAL-MG - Universidade Federal de Alfenas","Universidade Federal de Alfenas","UNIFAL-MG - Universidade Federal de Alfenas (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"187",1207,"Universidade Federal de Campina Grande","orgao",0,549,"UFCG","67671",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"UFCG - Universidade Federal de Campina Grande","Universidade Federal de Campina Grande","UFCG - Universidade Federal de Campina Grande (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"188",1342,"Universidade Federal de Catalão","orgao",0,549,"UFCAT","226371",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"UFCAT - Universidade Federal de Catalão","Universidade Federal de Catalão","UFCAT - Universidade Federal de Catalão (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"189",1079,"Universidade Federal de Goiás","orgao",0,549,"UFG","422",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"UFG - Universidade Federal de Goiás","Universidade Federal de Goiás","UFG - Universidade Federal de Goiás (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"190",1106,"Universidade Federal de Itajubá","orgao",0,549,"UNIFEI","462",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"UNIFEI - Universidade Federal de Itajubá","Universidade Federal de Itajubá","UNIFEI - Universidade Federal de Itajubá (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"191",1343,"Universidade Federal de Jataí","orgao",0,549,"UFJ","226372",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"UFJ - Universidade Federal de Jataí","Universidade Federal de Jataí","UFJ - Universidade Federal de Jataí (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"192",1081,"Universidade Federal de Juiz de Fora","orgao",0,549,"UFJF","424",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"UFJF - Universidade Federal de Juiz de Fora","Universidade Federal de Juiz de Fora","UFJF - Universidade Federal de Juiz de Fora (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
